fecha_id,day,month,year,quarter,weekday
253,9,9,2024,3,Monday
254,10,9,2024,3,Tuesday
255,11,9,2024,3,Wednesday
256,12,9,2024,3,Thursday
257,13,9,2024,3,Friday
258,14,9,2024,3,Saturday
259,15,9,2024,3,Sunday
260,16,9,2024,3,Monday
261,17,9,2024,3,Tuesday
262,18,9,2024,3,Wednesday
263,19,9,2024,3,Thursday
264,20,9,2024,3,Friday
265,21,9,2024,3,Saturday
266,22,9,2024,3,Sunday
267,23,9,2024,3,Monday
268,24,9,2024,3,Tuesday
269,25,9,2024,3,Wednesday
270,26,9,2024,3,Thursday
271,27,9,2024,3,Friday
272,28,9,2024,3,Saturday
273,29,9,2024,3,Sunday
274,30,9,2024,3,Monday
275,1,10,2024,4,Tuesday
276,2,10,2024,4,Wednesday
277,3,10,2024,4,Thursday
278,4,10,2024,4,Friday
279,5,10,2024,4,Saturday
280,6,10,2024,4,Sunday
281,7,10,2024,4,Monday
282,8,10,2024,4,Tuesday
283,9,10,2024,4,Wednesday
284,10,10,2024,4,Thursday
285,11,10,2024,4,Friday
286,12,10,2024,4,Saturday
287,13,10,2024,4,Sunday
288,14,10,2024,4,Monday
289,15,10,2024,4,Tuesday
290,16,10,2024,4,Wednesday
291,17,10,2024,4,Thursday
292,18,10,2024,4,Friday
293,19,10,2024,4,Saturday
294,20,10,2024,4,Sunday
295,21,10,2024,4,Monday
296,22,10,2024,4,Tuesday
297,23,10,2024,4,Wednesday
298,24,10,2024,4,Thursday
299,25,10,2024,4,Friday
300,26,10,2024,4,Saturday
301,27,10,2024,4,Sunday
302,28,10,2024,4,Monday
303,29,10,2024,4,Tuesday
304,30,10,2024,4,Wednesday
305,31,10,2024,4,Thursday
306,1,11,2024,4,Friday
307,2,11,2024,4,Saturday
308,3,11,2024,4,Sunday
309,4,11,2024,4,Monday
310,5,11,2024,4,Tuesday
311,6,11,2024,4,Wednesday
312,7,11,2024,4,Thursday
313,8,11,2024,4,Friday
314,9,11,2024,4,Saturday
315,10,11,2024,4,Sunday
316,11,11,2024,4,Monday
317,12,11,2024,4,Tuesday
318,13,11,2024,4,Wednesday
319,14,11,2024,4,Thursday
320,15,11,2024,4,Friday
321,16,11,2024,4,Saturday
322,17,11,2024,4,Sunday
323,18,11,2024,4,Monday
324,19,11,2024,4,Tuesday
325,20,11,2024,4,Wednesday
326,21,11,2024,4,Thursday
327,22,11,2024,4,Friday
328,23,11,2024,4,Saturday
329,24,11,2024,4,Sunday
330,25,11,2024,4,Monday
331,26,11,2024,4,Tuesday
332,27,11,2024,4,Wednesday
333,28,11,2024,4,Thursday
334,29,11,2024,4,Friday
335,30,11,2024,4,Saturday
336,1,12,2024,4,Sunday
337,2,12,2024,4,Monday
338,3,12,2024,4,Tuesday
339,4,12,2024,4,Wednesday
340,5,12,2024,4,Thursday
341,6,12,2024,4,Friday
342,7,12,2024,4,Saturday
343,8,12,2024,4,Sunday
344,9,12,2024,4,Monday
345,10,12,2024,4,Tuesday
346,11,12,2024,4,Wednesday
347,12,12,2024,4,Thursday
348,13,12,2024,4,Friday
349,14,12,2024,4,Saturday
